No,Name,Type1,Type2,Height,Weight,Legendary
85,Dodrio,Normal,Flying,1.8,85.2,0
86,Seel,Water,,1.1,90.0,0
87,Dewgong,Water,Ice,1.7,120.0,0
88,Grimer,Poison,,0.9,30.0,0
89,Muk,Poison,,1.2,30.0,0
90,Shellder,Water,,0.3,4.0,0
91,Cloyster,Water,Ice,1.5,132.5,0
92,Gastly,Ghost,Poison,1.3,0.1,0
93,Haunter,Ghost,Poison,1.6,0.1,0
94,Gengar,Ghost,Poison,1.5,40.5,0
95,Onix,Rock,Ground,8.8,210.0,0
96,Drowzee,Psychic,,1.0,32.4,0
97,Hypno,Psychic,,1.6,75.6,0
98,Krabby,Water,,0.4,6.5,0
99,Kingler,Water,,1.3,60.0,0
100,Voltorb,Electric,,0.5,10.4,0
101,Electrode,Electric,,1.2,66.6,0
102,Exeggcute,Grass,Psychic,0.4,2.5,0
103,Exeggutor,Grass,Psychic,2.0,120.0,0
104,Cubone,Ground,,0.4,6.5,0
105,Marowak,Ground,,1.0,45.0,0
106,Hitmonlee,Fighting,,1.5,49.8,0
107,Hitmonchan,Fighting,,1.4,50.2,0
108,Lickitung,Normal,,1.2,65.5,0
109,Koffing,Poison,,0.6,1.0,0
110,Weezing,Poison,,1.2,9.5,0
111,Rhyhorn,Ground,Rock,1.0,115.0,0
112,Rhydon,Ground,Rock,1.9,120.0,0
113,Chansey,Normal,,1.1,34.6,0
114,Tangela,Grass,,1.0,35.0,0
115,Kangaskhan,Normal,,2.2,80.0,0
116,Horsea,Water,,0.4,8.0,0
117,Seadra,Water,,1.2,25.0,0
118,Goldeen,Water,,0.6,15.0,0
119,Seaking,Water,,1.3,39.0,0
120,Staryu,Water,,0.8,34.5,0
121,Starmie,Water,Psychic,1.1,80.0,0
122,Mr-mime,Psychic,Fairy,1.3,54.5,0
123,Scyther,Bug,Flying,1.5,56.0,0
124,Jynx,Ice,Psychic,1.4,40.6,0
125,Electabuzz,Electric,,1.1,30.0,0
126,Magmar,Fire,,1.3,44.5,0
127,Pinsir,Bug,,1.5,55.0,0
128,Tauros,Normal,,1.4,88.4,0
129,Magikarp,Water,,0.9,10.0,0
130,Gyarados,Water,Flying,6.5,235.0,0
131,Lapras,Water,Ice,2.5,220.0,0
132,Ditto,Normal,,0.3,4.0,0
133,Eevee,Normal,,0.3,6.5,0
134,Vaporeon,Water,,1.0,29.0,0
135,Jolteon,Electric,,0.8,24.5,0
136,Flareon,Fire,,0.9,25.0,0
137,Porygon,Normal,,0.8,36.5,0
138,Omanyte,Rock,Water,0.4,7.5,0
139,Omastar,Rock,Water,1.0,35.0,0
140,Kabuto,Rock,Water,0.5,11.5,0
141,Kabutops,Rock,Water,1.3,40.5,0
142,Aerodactyl,Rock,Flying,1.8,59.0,0
143,Snorlax,Normal,,2.1,460.0,0
144,Articuno,Ice,Flying,1.7,55.4,1
145,Zapdos,Electric,Flying,1.6,52.6,1
146,Moltres,Fire,Flying,2.0,60.0,1
147,Dratini,Dragon,,1.8,3.3,0
148,Dragonair,Dragon,,4.0,16.5,0
149,Dragonite,Dragon,Flying,2.2,210.0,0
150,Mewtwo,Psychic,,2.0,122.0,1
151,Mew,Psychic,,0.4,4.0,1
152,Chikorita,Grass,,0.9,6.4,0
153,Bayleef,Grass,,1.2,15.8,0
154,Meganium,Grass,,1.8,100.5,0
155,Cyndaquil,Fire,,0.5,7.9,0
156,Quilava,Fire,,0.9,19.0,0
157,Typhlosion,Fire,,1.7,79.5,0
158,Totodile,Water,,0.6,9.5,0
159,Croconaw,Water,,1.1,25.0,0
160,Feraligatr,Water,,2.3,88.8,0
161,Sentret,Normal,,0.8,6.0,0
162,Furret,Normal,,1.8,32.5,0
163,Hoothoot,Normal,Flying,0.7,21.2,0
164,Noctowl,Normal,Flying,1.6,40.8,0
165,Ledyba,Bug,Flying,1.0,10.8,0
166,Ledian,Bug,Flying,1.4,35.6,0
167,Spinarak,Bug,Poison,0.5,8.5,0
168,Ariados,Bug,Poison,1.1,33.5,0
169,Crobat,Poison,Flying,1.8,75.0,0
170,Chinchou,Water,Electric,0.5,12.0,0
171,Lanturn,Water,Electric,1.2,22.5,0
172,Pichu,Electric,,0.3,2.0,0
173,Cleffa,Fairy,,0.3,3.0,0
174,Igglybuff,Normal,Fairy,0.3,1.0,0
175,Togepi,Fairy,,0.3,1.5,0
176,Togetic,Fairy,Flying,0.6,3.2,0
177,Natu,Psychic,Flying,0.2,2.0,0
178,Xatu,Psychic,Flying,1.5,15.0,0
179,Mareep,Electric,,0.6,7.8,0
180,Flaaffy,Electric,,0.8,13.3,0
181,Ampharos,Electric,,1.4,61.5,0
182,Bellossom,Grass,,0.4,5.8,0
183,Marill,Water,Fairy,0.4,8.5,0
184,Azumarill,Water,Fairy,0.8,28.5,0
185,Sudowoodo,Rock,,1.2,38.0,0
186,Politoed,Water,,1.1,33.9,0
187,Hoppip,Grass,Flying,0.4,0.5,0
188,Skiploom,Grass,Flying,0.6,1.0,0
189,Jumpluff,Grass,Flying,0.8,3.0,0
190,Aipom,Normal,,0.8,11.5,0
191,Sunkern,Grass,,0.3,1.8,0
192,Sunflora,Grass,,0.8,8.5,0
193,Yanma,Bug,Flying,1.2,38.0,0
194,Wooper,Water,Ground,0.4,8.5,0
195,Quagsire,Water,Ground,1.4,75.0,0
196,Espeon,Psychic,,0.9,26.5,0
197,Umbreon,Dark,,1.0,27.0,0
198,Murkrow,Dark,Flying,0.5,2.1,0
199,Slowking,Water,Psychic,2.0,79.5,0
200,Misdreavus,Ghost,,0.7,1.0,0
201,Unown,Psychic,,0.5,5.0,0
202,Wobbuffet,Psychic,,1.3,28.5,0
203,Girafarig,Normal,Psychic,1.5,41.5,0
204,Pineco,Bug,,0.6,7.2,0
205,Forretress,Bug,Steel,1.2,125.8,0
206,Dunsparce,Normal,,1.5,14.0,0
207,Gligar,Ground,Flying,1.1,64.8,0
208,Steelix,Steel,Ground,9.2,400.0,0
209,Snubbull,Fairy,,0.6,7.8,0
210,Granbull,Fairy,,1.4,48.7,0
211,Qwilfish,Water,Poison,0.5,3.9,0
212,Scizor,Bug,Steel,1.8,118.0,0
213,Shuckle,Bug,Rock,0.6,20.5,0
214,Heracross,Bug,Fighting,1.5,54.0,0
215,Sneasel,Dark,Ice,0.9,28.0,0
216,Teddiursa,Normal,,0.6,8.8,0
217,Ursaring,Normal,,1.8,125.8,0
218,Slugma,Fire,,0.7,35.0,0
219,Magcargo,Fire,Rock,0.8,55.0,0
220,Swinub,Ice,Ground,0.4,6.5,0
221,Piloswine,Ice,Ground,1.1,55.8,0
222,Corsola,Water,Rock,0.6,5.0,0
223,Remoraid,Water,,0.6,12.0,0
224,Octillery,Water,,0.9,28.5,0
225,Delibird,Ice,Flying,0.9,16.0,0
226,Mantine,Water,Flying,2.1,220.0,0
227,Skarmory,Steel,Flying,1.7,50.5,0
228,Houndour,Dark,Fire,0.6,10.8,0
229,Houndoom,Dark,Fire,1.4,35.0,0
230,Kingdra,Water,Dragon,1.8,152.0,0
231,Phanpy,Ground,,0.5,33.5,0
232,Donphan,Ground,,1.1,120.0,0
233,Porygon2,Normal,,0.6,32.5,0
234,Stantler,Normal,,1.4,71.2,0
235,Smeargle,Normal,,1.2,58.0,0
236,Tyrogue,Fighting,,0.7,21.0,0
237,Hitmontop,Fighting,,1.4,48.0,0
238,Smoochum,Ice,Psychic,0.4,6.0,0
239,Elekid,Electric,,0.6,23.5,0
240,Magby,Fire,,0.7,21.4,0
241,Miltank,Normal,,1.2,75.5,0
242,Blissey,Normal,,1.5,46.8,0
243,Raikou,Electric,,1.9,178.0,1
244,Entei,Fire,,2.1,198.0,1
245,Suicune,Water,,2.0,187.0,1
246,Larvitar,Rock,Ground,0.6,72.0,0
247,Pupitar,Rock,Ground,1.2,152.0,0
248,Tyranitar,Rock,Dark,2.0,202.0,0
249,Lugia,Psychic,Flying,5.2,216.0,1
250,Ho-oh,Fire,Flying,3.8,199.0,1
251,Celebi,Psychic,Grass,0.6,5.0,1
252,Treecko,Grass,,0.5,5.0,0
253,Grovyle,Grass,,0.9,21.6,0
254,Sceptile,Grass,,1.7,52.2,0
255,Torchic,Fire,,0.4,2.5,0
256,Combusken,Fire,Fighting,0.9,19.5,0
257,Blaziken,Fire,Fighting,1.9,52.0,0
258,Mudkip,Water,,0.4,7.6,0
259,Marshtomp,Water,Ground,0.7,28.0,0
260,Swampert,Water,Ground,1.5,81.9,0
261,Poochyena,Dark,,0.5,13.6,0
262,Mightyena,Dark,,1.0,37.0,0
263,Zigzagoon,Normal,,0.4,17.5,0
264,Linoone,Normal,,0.5,32.5,0
265,Wurmple,Bug,,0.3,3.6,0
266,Silcoon,Bug,,0.6,10.0,0
267,Beautifly,Bug,Flying,1.0,28.4,0
268,Cascoon,Bug,,0.7,11.5,0
269,Dustox,Bug,Poison,1.2,31.6,0
270,Lotad,Water,Grass,0.5,2.6,0
271,Lombre,Water,Grass,1.2,32.5,0
272,Ludicolo,Water,Grass,1.5,55.0,0
273,Seedot,Grass,,0.5,4.0,0
274,Nuzleaf,Grass,Dark,1.0,28.0,0
275,Shiftry,Grass,Dark,1.3,59.6,0
276,Taillow,Normal,Flying,0.3,2.3,0
277,Swellow,Normal,Flying,0.7,19.8,0
278,Wingull,Water,Flying,0.6,9.5,0
279,Pelipper,Water,Flying,1.2,28.0,0
280,Ralts,Psychic,Fairy,0.4,6.6,0
281,Kirlia,Psychic,Fairy,0.8,20.2,0
282,Gardevoir,Psychic,Fairy,1.6,48.4,0
283,Surskit,Bug,Water,0.5,1.7,0
284,Masquerain,Bug,Flying,0.8,3.6,0
285,Shroomish,Grass,,0.4,4.5,0
286,Breloom,Grass,Fighting,1.2,39.2,0
287,Slakoth,Normal,,0.8,24.0,0
288,Vigoroth,Normal,,1.4,46.5,0
289,Slaking,Normal,,2.0,130.5,0
290,Nincada,Bug,Ground,0.5,5.5,0
291,Ninjask,Bug,Flying,0.8,12.0,0
292,Shedinja,Bug,Ghost,0.8,1.2,0
293,Whismur,Normal,,0.6,16.3,0
294,Loudred,Normal,,1.0,40.5,0
295,Exploud,Normal,,1.5,84.0,0
296,Makuhita,Fighting,,1.0,86.4,0
297,Hariyama,Fighting,,2.3,253.8,0
298,Azurill,Normal,Fairy,0.2,2.0,0
299,Nosepass,Rock,,1.0,97.0,0
300,Skitty,Normal,,0.6,11.0,0
301,Delcatty,Normal,,1.1,32.6,0
302,Sableye,Dark,Ghost,0.5,11.0,0
303,Mawile,Steel,Fairy,0.6,11.5,0
304,Aron,Steel,Rock,0.4,60.0,0
305,Lairon,Steel,Rock,0.9,120.0,0
306,Aggron,Steel,Rock,2.1,360.0,0
307,Meditite,Fighting,Psychic,0.6,11.2,0
308,Medicham,Fighting,Psychic,1.3,31.5,0
309,Electrike,Electric,,0.6,15.2,0
310,Manectric,Electric,,1.5,40.2,0
311,Plusle,Electric,,0.4,4.2,0
312,Minun,Electric,,0.4,4.2,0
313,Volbeat,Bug,,0.7,17.7,0
314,Illumise,Bug,,0.6,17.7,0
315,Roselia,Grass,Poison,0.3,2.0,0
316,Gulpin,Poison,,0.4,10.3,0
317,Swalot,Poison,,1.7,80.0,0
318,Carvanha,Water,Dark,0.8,20.8,0
319,Sharpedo,Water,Dark,1.8,88.8,0
320,Wailmer,Water,,2.0,130.0,0
321,Wailord,Water,,14.5,398.0,0
322,Numel,Fire,Ground,0.7,24.0,0
323,Camerupt,Fire,Ground,1.9,220.0,0
324,Torkoal,Fire,,0.5,80.4,0
325,Spoink,Psychic,,0.7,30.6,0
326,Grumpig,Psychic,,0.9,71.5,0
327,Spinda,Normal,,1.1,5.0,0
328,Trapinch,Ground,,0.7,15.0,0
329,Vibrava,Ground,Dragon,1.1,15.3,0
330,Flygon,Ground,Dragon,2.0,82.0,0
331,Cacnea,Grass,,0.4,51.3,0
332,Cacturne,Grass,Dark,1.3,77.4,0
333,Swablu,Normal,Flying,0.4,1.2,0
334,Altaria,Dragon,Flying,1.1,20.6,0
335,Zangoose,Normal,,1.3,40.3,0
336,Seviper,Poison,,2.7,52.5,0
337,Lunatone,Rock,Psychic,1.0,168.0,0
338,Solrock,Rock,Psychic,1.2,154.0,0
339,Barboach,Water,Ground,0.4,1.9,0
340,Whiscash,Water,Ground,0.9,23.6,0
341,Corphish,Water,,0.6,11.5,0
342,Crawdaunt,Water,Dark,1.1,32.8,0
343,Baltoy,Ground,Psychic,0.5,21.5,0
344,Claydol,Ground,Psychic,1.5,108.0,0
345,Lileep,Rock,Grass,1.0,23.8,0
346,Cradily,Rock,Grass,1.5,60.4,0
347,Anorith,Rock,Bug,0.7,12.5,0
348,Armaldo,Rock,Bug,1.5,68.2,0
349,Feebas,Water,,0.6,7.4,0
350,Milotic,Water,,6.2,162.0,0
351,Castform,Normal,,0.3,0.8,0
352,Kecleon,Normal,,1.0,22.0,0
353,Shuppet,Ghost,,0.6,2.3,0
354,Banette,Ghost,,1.1,12.5,0
355,Duskull,Ghost,,0.8,15.0,0
356,Dusclops,Ghost,,1.6,30.6,0
357,Tropius,Grass,Flying,2.0,100.0,0
358,Chimecho,Psychic,,0.6,1.0,0
359,Absol,Dark,,1.2,47.0,0
360,Wynaut,Psychic,,0.6,14.0,0
361,Snorunt,Ice,,0.7,16.8,0
362,Glalie,Ice,,1.5,256.5,0
363,Spheal,Ice,Water,0.8,39.5,0
364,Sealeo,Ice,Water,1.1,87.6,0
365,Walrein,Ice,Water,1.4,150.6,0
366,Clamperl,Water,,0.4,52.5,0
367,Huntail,Water,,1.7,27.0,0
368,Gorebyss,Water,,1.8,22.6,0
369,Relicanth,Water,Rock,1.0,23.4,0
370,Luvdisc,Water,,0.6,8.7,0
371,Bagon,Dragon,,0.6,42.1,0
372,Shelgon,Dragon,,1.1,110.5,0
373,Salamence,Dragon,Flying,1.5,102.6,0
374,Beldum,Steel,Psychic,0.6,95.2,0
375,Metang,Steel,Psychic,1.2,202.5,0
376,Metagross,Steel,Psychic,1.6,550.0,0
377,Regirock,Rock,,1.7,230.0,1
378,Regice,Ice,,1.8,175.0,1
379,Registeel,Steel,,1.9,205.0,1
380,Latias,Dragon,Psychic,1.4,40.0,1
381,Latios,Dragon,Psychic,2.0,60.0,1
382,Kyogre,Water,,4.5,352.0,1
383,Groudon,Ground,,3.5,950.0,1
384,Rayquaza,Dragon,Flying,7.0,206.5,1
385,Jirachi,Steel,Psychic,0.3,1.1,1
386,Deoxys-normal,Psychic,,1.7,60.8,1
387,Turtwig,Grass,,0.4,10.2,0
388,Grotle,Grass,,1.1,97.0,0
389,Torterra,Grass,Ground,2.2,310.0,0
390,Chimchar,Fire,,0.5,6.2,0
391,Monferno,Fire,Fighting,0.9,22.0,0
392,Infernape,Fire,Fighting,1.2,55.0,0
393,Piplup,Water,,0.4,5.2,0
394,Prinplup,Water,,0.8,23.0,0
395,Empoleon,Water,Steel,1.7,84.5,0
396,Starly,Normal,Flying,0.3,2.0,0
397,Staravia,Normal,Flying,0.6,15.5,0
398,Staraptor,Normal,Flying,1.2,24.9,0
399,Bidoof,Normal,,0.5,20.0,0
400,Bibarel,Normal,Water,1.0,31.5,0
401,Kricketot,Bug,,0.3,2.2,0
402,Kricketune,Bug,,1.0,25.5,0
403,Shinx,Electric,,0.5,9.5,0
404,Luxio,Electric,,0.9,30.5,0
405,Luxray,Electric,,1.4,42.0,0
406,Budew,Grass,Poison,0.2,1.2,0
407,Roserade,Grass,Poison,0.9,14.5,0
408,Cranidos,Rock,,0.9,31.5,0
409,Rampardos,Rock,,1.6,102.5,0
410,Shieldon,Rock,Steel,0.5,57.0,0
411,Bastiodon,Rock,Steel,1.3,149.5,0
412,Burmy,Bug,,0.2,3.4,0
413,Wormadam-plant,Bug,Grass,0.5,6.5,0
414,Mothim,Bug,Flying,0.9,23.3,0
415,Combee,Bug,Flying,0.3,5.5,0
416,Vespiquen,Bug,Flying,1.2,38.5,0
417,Pachirisu,Electric,,0.4,3.9,0
418,Buizel,Water,,0.7,29.5,0
419,Floatzel,Water,,1.1,33.5,0
420,Cherubi,Grass,,0.4,3.3,0
421,Cherrim,Grass,,0.5,9.3,0
422,Shellos,Water,,0.3,6.3,0
423,Gastrodon,Water,Ground,0.9,29.9,0
424,Ambipom,Normal,,1.2,20.3,0
425,Drifloon,Ghost,Flying,0.4,1.2,0
426,Drifblim,Ghost,Flying,1.2,15.0,0
427,Buneary,Normal,,0.4,5.5,0
428,Lopunny,Normal,,1.2,33.3,0
429,Mismagius,Ghost,,0.9,4.4,0
430,Honchkrow,Dark,Flying,0.9,27.3,0
431,Glameow,Normal,,0.5,3.9,0
432,Purugly,Normal,,1.0,43.8,0
433,Chingling,Psychic,,0.2,0.6,0
434,Stunky,Poison,Dark,0.4,19.2,0
435,Skuntank,Poison,Dark,1.0,38.0,0
436,Bronzor,Steel,Psychic,0.5,60.5,0
437,Bronzong,Steel,Psychic,1.3,187.0,0
438,Bonsly,Rock,,0.5,15.0,0
439,Mime-jr,Psychic,Fairy,0.6,13.0,0
440,Happiny,Normal,,0.6,24.4,0
441,Chatot,Normal,Flying,0.5,1.9,0
442,Spiritomb,Ghost,Dark,1.0,108.0,0
443,Gible,Dragon,Ground,0.7,20.5,0
444,Gabite,Dragon,Ground,1.4,56.0,0
445,Garchomp,Dragon,Ground,1.9,95.0,0
446,Munchlax,Normal,,0.6,105.0,0
447,Riolu,Fighting,,0.7,20.2,0
448,Lucario,Fighting,Steel,1.2,54.0,0
449,Hippopotas,Ground,,0.8,49.5,0
450,Hippowdon,Ground,,2.0,300.0,0
451,Skorupi,Poison,Bug,0.8,12.0,0
452,Drapion,Poison,Dark,1.3,61.5,0
453,Croagunk,Poison,Fighting,0.7,23.0,0
454,Toxicroak,Poison,Fighting,1.3,44.4,0
455,Carnivine,Grass,,1.4,27.0,0
456,Finneon,Water,,0.4,7.0,0
457,Lumineon,Water,,1.2,24.0,0
458,Mantyke,Water,Flying,1.0,65.0,0
459,Snover,Grass,Ice,1.0,50.5,0
460,Abomasnow,Grass,Ice,2.2,135.5,0
461,Weavile,Dark,Ice,1.1,34.0,0
462,Magnezone,Electric,Steel,1.2,180.0,0
463,Lickilicky,Normal,,1.7,140.0,0
464,Rhyperior,Ground,Rock,2.4,282.8,0
465,Tangrowth,Grass,,2.0,128.6,0
466,Electivire,Electric,,1.8,138.6,0
467,Magmortar,Fire,,1.6,68.0,0
468,Togekiss,Fairy,Flying,1.5,38.0,0
469,Yanmega,Bug,Flying,1.9,51.5,0
470,Leafeon,Grass,,1.0,25.5,0
471,Glaceon,Ice,,0.8,25.9,0
472,Gliscor,Ground,Flying,2.0,42.5,0
473,Mamoswine,Ice,Ground,2.5,291.0,0
474,Porygon-z,Normal,,0.9,34.0,0
475,Gallade,Psychic,Fighting,1.6,52.0,0
476,Probopass,Rock,Steel,1.4,340.0,0
477,Dusknoir,Ghost,,2.2,106.6,0
478,Froslass,Ice,Ghost,1.3,26.6,0
479,Rotom,Electric,Ghost,0.3,0.3,0
480,Uxie,Psychic,,0.3,0.3,1
481,Mesprit,Psychic,,0.3,0.3,1
482,Azelf,Psychic,,0.3,0.3,1
483,Dialga,Steel,Dragon,5.4,683.0,1
484,Palkia,Water,Dragon,4.2,336.0,1
485,Heatran,Fire,Steel,1.7,430.0,1
486,Regigigas,Normal,,3.7,420.0,1
487,Giratina-altered,Ghost,Dragon,4.5,750.0,1
488,Cresselia,Psychic,,1.5,85.6,1
489,Phione,Water,,0.4,3.1,1
490,Manaphy,Water,,0.3,1.4,1
491,Darkrai,Dark,,1.5,50.5,1
492,Shaymin-land,Grass,,0.2,2.1,1
493,Arceus,Normal,,3.2,320.0,1
494,Victini,Psychic,Fire,0.4,4.0,1
495,Snivy,Grass,,0.6,8.1,0
496,Servine,Grass,,0.8,16.0,0
497,Serperior,Grass,,3.3,63.0,0
498,Tepig,Fire,,0.5,9.9,0
499,Pignite,Fire,Fighting,1.0,55.5,0
500,Emboar,Fire,Fighting,1.6,150.0,0
501,Oshawott,Water,,0.5,5.9,0
502,Dewott,Water,,0.8,24.5,0
503,Samurott,Water,,1.5,94.6,0
504,Patrat,Normal,,0.5,11.6,0
505,Watchog,Normal,,1.1,27.0,0
506,Lillipup,Normal,,0.4,4.1,0
507,Herdier,Normal,,0.9,14.7,0
508,Stoutland,Normal,,1.2,61.0,0
509,Purrloin,Dark,,0.4,10.1,0
510,Liepard,Dark,,1.1,37.5,0
511,Pansage,Grass,,0.6,10.5,0
512,Simisage,Grass,,1.1,30.5,0
513,Pansear,Fire,,0.6,11.0,0
514,Simisear,Fire,,1.0,28.0,0
515,Panpour,Water,,0.6,13.5,0
516,Simipour,Water,,1.0,29.0,0
517,Munna,Psychic,,0.6,23.3,0
518,Musharna,Psychic,,1.1,60.5,0
519,Pidove,Normal,Flying,0.3,2.1,0
520,Tranquill,Normal,Flying,0.6,15.0,0
521,Unfezant,Normal,Flying,1.2,29.0,0
522,Blitzle,Electric,,0.8,29.8,0
523,Zebstrika,Electric,,1.6,79.5,0
524,Roggenrola,Rock,,0.4,18.0,0
525,Boldore,Rock,,0.9,102.0,0
526,Gigalith,Rock,,1.7,260.0,0
527,Woobat,Psychic,Flying,0.4,2.1,0
528,Swoobat,Psychic,Flying,0.9,10.5,0
529,Drilbur,Ground,,0.3,8.5,0
530,Excadrill,Ground,Steel,0.7,40.4,0
531,Audino,Normal,,1.1,31.0,0
532,Timburr,Fighting,,0.6,12.5,0
533,Gurdurr,Fighting,,1.2,40.0,0
534,Conkeldurr,Fighting,,1.4,87.0,0
535,Tympole,Water,,0.5,4.5,0
536,Palpitoad,Water,Ground,0.8,17.0,0
537,Seismitoad,Water,Ground,1.5,62.0,0
538,Throh,Fighting,,1.3,55.5,0
539,Sawk,Fighting,,1.4,51.0,0
540,Sewaddle,Bug,Grass,0.3,2.5,0
541,Swadloon,Bug,Grass,0.5,7.3,0
542,Leavanny,Bug,Grass,1.2,20.5,0
543,Venipede,Bug,Poison,0.4,5.3,0
544,Whirlipede,Bug,Poison,1.2,58.5,0
545,Scolipede,Bug,Poison,2.5,200.5,0
546,Cottonee,Grass,Fairy,0.3,0.6,0
547,Whimsicott,Grass,Fairy,0.7,6.6,0
548,Petilil,Grass,,0.5,6.6,0
549,Lilligant,Grass,,1.1,16.3,0
550,Basculin-red-striped,Water,,1.0,18.0,0
551,Sandile,Ground,Dark,0.7,15.2,0
552,Krokorok,Ground,Dark,1.0,33.4,0
553,Krookodile,Ground,Dark,1.5,96.3,0
554,Darumaka,Fire,,0.6,37.5,0
555,Darmanitan-standard,Fire,,1.3,92.9,0
556,Maractus,Grass,,1.0,28.0,0
557,Dwebble,Bug,Rock,0.3,14.5,0
558,Crustle,Bug,Rock,1.4,200.0,0
559,Scraggy,Dark,Fighting,0.6,11.8,0
560,Scrafty,Dark,Fighting,1.1,30.0,0
561,Sigilyph,Psychic,Flying,1.4,14.0,0
562,Yamask,Ghost,,0.5,1.5,0
563,Cofagrigus,Ghost,,1.7,76.5,0
564,Tirtouga,Water,Rock,0.7,16.5,0
565,Carracosta,Water,Rock,1.2,81.0,0
566,Archen,Rock,Flying,0.5,9.5,0
567,Archeops,Rock,Flying,1.4,32.0,0
568,Trubbish,Poison,,0.6,31.0,0
569,Garbodor,Poison,,1.9,107.3,0
570,Zorua,Dark,,0.7,12.5,0
571,Zoroark,Dark,,1.6,81.1,0
572,Minccino,Normal,,0.4,5.8,0
573,Cinccino,Normal,,0.5,7.5,0
574,Gothita,Psychic,,0.4,5.8,0
575,Gothorita,Psychic,,0.7,18.0,0
576,Gothitelle,Psychic,,1.5,44.0,0
577,Solosis,Psychic,,0.3,1.0,0
